,Artist,Genres,Songs,Popularity,Link
0,Beyoncé,"['Pop', ' R&B']",276.0,205.5,/beyonce/
1,Bruno Mars,"['R&B', ' Pop']",122.0,62.5,/bruno-mars/
2,Rihanna,"['Pop', ' R&B']",246.0,51.2,/rihanna/
3,50 Cent,"['Hip Hop', ' Rap']",469.0,40.7,/50-cent/
4,John Legend,"['R&B', 'Soul']",169.0,44.5,/john-legend/
5,Michael Jackson,"['Pop', ' R&B']",300.0,36.0,/michael-jackson/
6,Alicia Keys,"['Soul', ' R&B']",216.0,33.1,/alicia-keys/
7,Black Eyed Peas,"['Electronica', ' Hip Hop']",165.0,36.7,/black-eyed-peas/
8,Whitney Houston,"['Romantic', 'Soundtack']",126.0,14.9,/whitney-houston/
9,Justin Timberlake,"['Hip Hop', ' Dance', ' Pop']",139.0,16.3,/justin-timberlake/
10,Akon,"['Rap', ' Pop']",335.0,17.4,/akon/
11,Snoop Dogg,"['Hip Hop', ' Rap']",494.0,13.0,/snoop-dogg/
12,Chris Brown,"['Rap', ' Hip Hop', ' Pop']",624.0,11.8,/chris-brown/
13,Tupac Shakur,"['Hip Hop', ' Rap']",383.0,10.3,/2pac-tupac-shakur/
14,Kanye West,"['Hip Hop', ' R&B', ' Rap']",298.0,14.0,/kanye-west/
15,Nicki Minaj,"['Rap', ' Pop', ' Hip Hop']",288.0,10.1,/nicki-minaj/
16,Ne-yo,"['Hip Hop', ' R&B']",307.0,9.4,/ne-yo/
17,Jennifer Lopez,"['Dance', ' Pop', ' R&B']",216.0,6.6,/jennifer-lopez/
18,Lauryn Hill,"['Soul', ' Hip Hop']",60.0,5.2,/lauryn-hill/
19,Destiny's Child,"[' R&B', ' Hip Hop']",125.0,5.5,/destinys-child/
20,Cherish,"['Hip Hop', ' R&B']",44.0,4.5,/cherish/
21,Usher,"[' R&B', ' Hip Hop']",263.0,5.1,/usher/
22,The Pussycat Dolls,"['Dance', ' Hip Hop']",57.0,3.8,/the-pussycat-dolls/
23,Flo Rida,"[' Hip Hop', ' Rap']",120.0,4.0,/flo-rida/
24,Nelly,"['Rap', ' Hip Hop']",171.0,4.4,/nelly/
25,Thalles Roberto,"['Gospel', ' Pop']",142.0,3.5,/thalles-roberto/
26,Fergie,"['Hip Hop', ' Pop', ' R&B']",71.0,4.0,/fergie/
27,Jason Derulo,"['Pop', ' R&B', ' Hip Hop']",123.0,3.7,/jason-derulo/
28,Jay-Z,"['Hip Hop', ' Rap']",318.0,3.9,/jay-z/
29,Lil Wayne,"['R&B', ' Rap']",693.0,4.3,/lil-wayne/
30,Soulja Boy,"[' Rap', ' Hip Hop']",237.0,3.9,/soulja-boy/
31,Prince,"['R&B', ' Funk']",585.0,2.8,/prince/
32,Kirk Franklin,"['Gospel', 'Soul']",166.0,2.7,/kirk-franklin/
33,Ice Cube,"['Rap', ' Hip Hop']",239.0,3.0,/ice-cube/
34,Ciara,"['Hip Hop', ' R&B']",149.0,2.7,/ciara/
35,Brian Mcknight,['Romantic'],190.0,2.5,/brian-mcknight/
36,Jackson 5,"['Soul', ' Pop', ' Disco']",218.0,2.2,/jackson-5/
37,Willow Smith,"['Pop', ' Dance', ' Hip Hop']",85.0,1.8,/willow-smith/
38,Des'ree,"['Romantic', ' Pop']",53.0,1.7,/desree/
39,BaianaSystem,"[' Reggae', ' Hip Hop']",56.0,1.4,/baianasystem/
40,Kid Cudi,"['Hip Hop', ' Rap']",120.0,1.3,/kid-cudi/
41,Jeremih,"['Hip Hop', ' R&B']",38.0,1.3,/jeremih/
42,Will Smith,"[' Hip Hop', ' Rap']",130.0,0.0,/will-smith/
43,Jennifer Hudson,"['R&B', ' Pop']",89.0,0.0,/jennifer-hudson/
44,T.I.,"['Hip Hop', ' Rap']",243.0,1.0,/t-i/
45,Raiz Coral,"['Gospel', 'Soul']",57.0,0.0,/raiz-coral/
46,B.o.B,"['Hip Hop', ' Rap']",251.0,0.0,/b-o-b/
47,Taio Cruz,"['Electronica', ' Dance', ' Pop']",78.0,0.2,/taio-cruz/
48,Meek Mill,"['Rap', ' Hip Hop']",128.0,0.0,/meek-mill/
49,Aaliyah,[' R&B'],97.0,0.0,/aaliyah/
50,Nicole Scherzinger,"['Dance', ' Pop', ' R&B']",101.0,0.0,/nicole-scherzinger/
51,Stevie B,"['Dance', 'Romantic']",44.0,0.0,/stevie-b/
52,Birdman,"[' Rap', ' Hip Hop']",76.0,0.2,/birdman/
53,Negra Li,"['Hip Hop', ' Rap']",54.0,0.0,/negra-li/
54,B2k,"['Hip Hop', ' Rap']",87.0,0.0,/b2k/
55,Kevin Gates,[' Hip Hop'],137.0,0.0,/kevin-gates/
56,Diddy-Dirty Money,"['Rap', ' R&B']",27.0,0.0,/diddy-dirty-money/
57,Ace Hood,"[' Rap', ' Hip Hop']",86.0,0.0,/ace-hood/
58,Kash Doll,"[' Trip-Hop', ' Rap']",19.0,0.0,/kash-doll/
59,Tendekasha,"[' World Music', ' Reggae']",10.0,0.0,/tendekasha/
60,Franky Fade,"['Hip Hop', ' R&B']",9.0,0.0,/franky-fade/
61,Mvp,"[' Rap', ' Hip Hop']",10.0,0.0,/m-v-p/
62,Elvis Presley,"['Rockabilly', 'Romantic', ' Rock']",759.0,23.1,/elvis-presley/
63,John Mayer,"['Romantic', ' Blues', ' Pop/Rock']",151.0,14.9,/john-mayer/
64,Amy Winehouse,"['R&B', ' Jazz', 'Soul']",70.0,13.5,/amy-winehouse/
65,Rolling Stones,"['Classic Rock', ' Rock', ' Blues']",438.0,12.8,/the-rolling-stones/
66,Michael Bublé,"['Romantic', ' Jazz', ' Blues']",179.0,10.7,/michael-buble/
67,Eric Clapton,"['Rock', ' Blues']",429.0,7.9,/eric-clapton/
68,Bob Dylan,"['Folk', ' Rock', ' Country']",558.0,6.9,/bob-dylan/
69,The Doors,"['Blues', ' Rock', 'Psychedelic music']",135.0,6.0,/the-doors/
70,Norah Jones,"['Jazz', ' Blues', 'Soul']",196.0,5.3,/norah-jones/
71,Janis Joplin,"['Rock', ' Blues', ' R&B']",113.0,4.5,/janis-joplin/
72,Fleetwood Mac,"['Soft Rock', ' Rock', ' Pop/Rock']",252.0,4.3,/fleetwood-mac/
73,Bill Withers,"['Soul', ' R&B', ' Blues']",87.0,3.6,/bill-withers/
74,Lynyrd Skynyrd,"['Rock', ' Hard Rock', ' Country']",167.0,2.7,/lynyrd-skynyrd/
75,Jimi Hendrix,"['Rock', ' Blues', 'Psychedelic music']",129.0,2.1,/jimi-hendrix/
76,Etta James,['Blues'],93.0,2.0,/etta-james/
77,Nick Cave & The Bad Seeds,"['Rock', ' Blues', 'Romantic']",307.0,2.1,/nick-cave-the-bad-seeds/
78,BB King,['Blues'],371.0,1.3,/bb-king/
79,Johnny Rivers,"['Rock', ' Pop/Rock', ' Blues']",160.0,1.0,/johnny-rivers/
80,The Black Keys,"['Alternative Rock', ' Indie', ' Rock']",152.0,1.6,/the-black-keys/
81,Gary Moore,"['Blues', ' Rock', ' Jazz']",167.0,0.0,/gary-moore/
82,Little Richard,"['Rockabilly', ' Rock', ' R&B']",46.0,0.0,/little-richard/
83,Stevie Ray Vaughan,"['Blues', ' Rock', ' Country']",70.0,0.0,/vaughan-stevie-ray/
84,The Band,"['Rock', ' Country', ' Folk']",187.0,0.0,/the-band/
85,Muddy Waters,['Blues'],90.0,0.0,/muddy-waters/
86,Richie Sambora,"['Rock', ' Blues']",43.0,0.0,/sambora-richie/
87,Cream,"['Rock', ' Blues', ' Hard Rock']",61.0,0.0,/cream/
88,Buddy Guy,"['Blues', ' Hardcore', ' Country']",55.0,0.0,/buddy-guy/
89,Gary Clark Jr.,['Blues'],37.0,0.0,/gary-clark-jr/
90,Joe Bonamassa,['Blues'],58.0,0.0,/joe-bonamassa/
91,John Lee Hooker,"['Blues', ' Hard Rock', 'Gospel']",55.0,0.0,/john-lee-hooker/
92,Rory Gallagher,"['Blues', ' Rock', ' Hard Rock']",90.0,0.0,/rory-gallagher/
93,The Allman Brothers Band,['Blues'],142.0,0.0,/the-allman-brothers-band/
94,Howlin' Wolf,['Blues'],65.0,0.0,/howlin-wolf-11/
95,Albert King,['Blues'],41.0,0.0,/albert-king/
96,Willie Dixon,"['Blues', ' Instrumental']",32.0,0.0,/willie-dixon/
97,Taj Mahal,['Blues'],22.0,0.0,/taj-mahal/
98,Hugh Laurie,"['Blues', ' Jazz', ' House']",30.0,0.0,/hugh-laurie/
99,John Mayall,['Blues'],53.0,0.0,/john-mayalls-bluesbreakers/
100,Blind Arthur Blake,['Blues'],10.0,0.0,/blind-arthur-blake/
