,Count,Genre
0,604,Rock
1,387,Pop
2,284,Pop/Rock
3,263,Indie
4,203,Heavy Metal
5,203,Hip Hop
6,195,Romantic
7,184,Dance
8,167,Electronica
9,161,Hard Rock
10,158,Alternative Rock
11,149,Rap
12,144,R&B
13,140,Gospel
14,120,Soundtack
15,98,Folk
16,96,Punk Rock
17,92,Soul
18,87,Hardcore
19,74,Country
20,70,Blues
21,65,Reggae
22,58,Gothic Rock
23,54,Technopop
24,48,House
25,44,Funk
26,43,Progressive Music
27,40,Jazz
28,36,Instrumental
29,32,Children's music
30,31,Disco
31,30,Pop/Punk
32,30,Rockabilly
33,30,New Wave
34,29,Classic
35,28,Emocore
36,27,Grunge
37,27,Psychedelic music
38,25,Surf Music
39,25,Soft Rock
40,21,New Age
41,19,Trip-Hop
42,17,Trance
43,15,Ska
44,14,Chillout
45,12,Brazilian Funk
46,11,Reggaeton
47,10,Industrial
48,9,Classic Rock
49,7,Metal
50,6,Lo-fi
51,6,Post-Rock
52,5,Tropical House
53,1,World Music
54,1,Black Music
