,Rock,Indie,Pop,Romantic,Folk,Grunge,Jazz,Classic,New Wave,Rap,Hip Hop,Metal,Heavy Metal,Country,Hardcore,Rockabilly,Blues,R&B,Soul,Dance,Gospel,Funk,Emocore,Punk,Psychedelic music,Classic Rock,House,Electronica,Progressive Music,Trip-Hop,Disco,Soundtack,Reggae,Surf Music,Children's music,Industrial,Trance,Ska,Instrumental,Chillout,Tropical House,Post-Rock,Lo-fi,Black Music,Reggaeton,World Music
shake,1528.0,189.0,1568.0,257.0,94.0,21.0,35.0,4.0,11.0,726.0,879.0,5.0,133.0,75.0,120.0,105.0,164.0,564.0,148.0,347.0,109.0,122.0,10.0,23.0,28.0,14.0,42.0,290.0,19.0,9.0,116.0,167.0,56.0,7.0,38.0,7.0,4.0,5.0,2.0,15.0,,,,,7.0,
hair,1117.0,247.0,808.0,233.0,177.0,17.0,40.0,7.0,26.0,287.0,308.0,4.0,122.0,157.0,47.0,40.0,113.0,217.0,80.0,156.0,20.0,29.0,12.0,32.0,63.0,11.0,13.0,64.0,30.0,4.0,24.0,107.0,9.0,30.0,7.0,10.0,,6.0,7.0,3.0,1.0,1.0,,,1.0,
fun,1540.0,259.0,976.0,190.0,89.0,24.0,66.0,11.0,34.0,279.0,311.0,2.0,138.0,109.0,97.0,63.0,93.0,288.0,115.0,347.0,22.0,54.0,5.0,56.0,27.0,18.0,45.0,147.0,21.0,12.0,37.0,130.0,54.0,25.0,55.0,3.0,2.0,21.0,8.0,5.0,,,,,1.0,
forget,2453.0,372.0,1508.0,485.0,218.0,75.0,115.0,54.0,33.0,436.0,531.0,8.0,349.0,186.0,158.0,65.0,97.0,401.0,157.0,406.0,75.0,33.0,74.0,61.0,38.0,18.0,17.0,128.0,49.0,23.0,57.0,107.0,53.0,38.0,4.0,21.0,33.0,14.0,14.0,30.0,1.0,3.0,2.0,,1.0,
mothers,289.0,55.0,102.0,43.0,54.0,5.0,13.0,4.0,10.0,78.0,81.0,,49.0,35.0,11.0,1.0,10.0,37.0,21.0,24.0,12.0,5.0,,2.0,10.0,7.0,1.0,7.0,11.0,,11.0,10.0,7.0,3.0,2.0,8.0,1.0,2.0,1.0,2.0,,5.0,,,,
past,2017.0,316.0,737.0,255.0,181.0,43.0,24.0,9.0,41.0,393.0,433.0,8.0,515.0,170.0,180.0,36.0,63.0,204.0,70.0,152.0,84.0,23.0,30.0,24.0,42.0,27.0,30.0,107.0,93.0,28.0,38.0,71.0,43.0,20.0,3.0,13.0,12.0,26.0,17.0,17.0,,,1.0,,,
lovers,607.0,139.0,437.0,150.0,74.0,18.0,55.0,9.0,33.0,40.0,64.0,,57.0,71.0,10.0,7.0,24.0,141.0,88.0,100.0,4.0,18.0,4.0,2.0,10.0,14.0,17.0,53.0,20.0,5.0,52.0,44.0,7.0,4.0,,2.0,1.0,4.0,7.0,3.0,1.0,3.0,,,,
everyone,1990.0,370.0,828.0,293.0,121.0,100.0,32.0,10.0,30.0,208.0,202.0,5.0,208.0,84.0,125.0,14.0,39.0,124.0,77.0,194.0,69.0,9.0,29.0,47.0,38.0,17.0,17.0,62.0,66.0,25.0,21.0,68.0,53.0,20.0,19.0,12.0,3.0,17.0,12.0,2.0,1.0,,4.0,,,
ooh,3119.0,776.0,3523.0,1082.0,328.0,47.0,59.0,17.0,26.0,962.0,1594.0,,274.0,292.0,27.0,68.0,148.0,1891.0,790.0,1167.0,123.0,355.0,23.0,54.0,62.0,54.0,101.0,572.0,71.0,39.0,261.0,243.0,58.0,41.0,30.0,1.0,23.0,50.0,41.0,42.0,14.0,,,,,
lucky,583.0,89.0,427.0,145.0,70.0,8.0,49.0,9.0,14.0,92.0,108.0,,43.0,57.0,16.0,29.0,36.0,77.0,35.0,97.0,27.0,7.0,2.0,10.0,7.0,2.0,32.0,69.0,9.0,2.0,32.0,72.0,5.0,17.0,,,4.0,2.0,,1.0,,,,,,
best,2953.0,546.0,2092.0,651.0,294.0,47.0,127.0,46.0,67.0,1135.0,1151.0,3.0,325.0,274.0,148.0,71.0,134.0,667.0,231.0,435.0,164.0,74.0,90.0,85.0,42.0,26.0,40.0,209.0,78.0,17.0,63.0,193.0,67.0,49.0,39.0,19.0,5.0,35.0,6.0,25.0,4.0,,5.0,,1.0,
friend,2711.0,497.0,1283.0,354.0,261.0,39.0,64.0,23.0,34.0,433.0,588.0,3.0,354.0,254.0,132.0,64.0,151.0,439.0,178.0,261.0,141.0,42.0,27.0,63.0,53.0,26.0,33.0,166.0,86.0,30.0,58.0,162.0,83.0,44.0,34.0,19.0,11.0,22.0,14.0,11.0,2.0,,11.0,,,
one,22317.0,3104.0,13160.0,3888.0,1717.0,415.0,627.0,194.0,364.0,5631.0,6848.0,70.0,4060.0,1902.0,1289.0,463.0,934.0,4731.0,1833.0,3224.0,1258.0,502.0,402.0,313.0,299.0,251.0,404.0,1676.0,738.0,201.0,614.0,1184.0,708.0,372.0,104.0,124.0,73.0,189.0,180.0,201.0,15.0,2.0,19.0,,12.0,
knows,2539.0,463.0,1267.0,443.0,284.0,38.0,86.0,19.0,56.0,265.0,380.0,3.0,277.0,244.0,94.0,52.0,140.0,438.0,207.0,280.0,128.0,41.0,18.0,56.0,61.0,14.0,37.0,122.0,75.0,8.0,49.0,131.0,34.0,37.0,14.0,4.0,15.0,9.0,9.0,16.0,,,,,1.0,
like,29495.0,5241.0,22918.0,5643.0,2313.0,595.0,827.0,326.0,459.0,18904.0,20845.0,64.0,3733.0,2547.0,1536.0,641.0,1242.0,9926.0,2376.0,6319.0,1622.0,941.0,503.0,608.0,472.0,258.0,592.0,3372.0,697.0,401.0,715.0,1387.0,719.0,430.0,115.0,179.0,210.0,252.0,246.0,456.0,88.0,13.0,28.0,,48.0,
remember,3498.0,596.0,1917.0,700.0,321.0,76.0,107.0,64.0,57.0,576.0,649.0,5.0,452.0,294.0,197.0,103.0,177.0,601.0,259.0,364.0,157.0,58.0,84.0,96.0,70.0,20.0,83.0,222.0,105.0,38.0,120.0,216.0,144.0,56.0,9.0,57.0,11.0,20.0,19.0,52.0,3.0,1.0,1.0,,,
cut,1421.0,267.0,540.0,104.0,133.0,30.0,19.0,5.0,31.0,621.0,597.0,12.0,308.0,133.0,165.0,6.0,51.0,175.0,53.0,133.0,39.0,35.0,82.0,22.0,13.0,18.0,22.0,80.0,51.0,12.0,7.0,34.0,26.0,9.0,1.0,23.0,5.0,7.0,4.0,15.0,2.0,1.0,2.0,,1.0,
